Ex_Re,Ex_Im,Ey_Re,Ey_Im,Ez_Re,Ez_Im,Hx_Re,Hx_Im,Hy_Re,Hy_Im,Hz_Re,Hz_Im
-5.3093794047295566e-08,0.0,-2.1685122223320563e-17,0.0,2.8114455209071055e-17,0.0,-4.0517200495917576e-17,0.0,9.515197524728024e-08,0.0,7.696617871016731e-17,0.0
2.614673561610306e-07,0.0,2.981307058593922e-17,0.0,-2.0087691489263608e-17,0.0,1.7834302810662753e-18,0.0,-3.44171248350567e-07,0.0,1.4513097298482558e-17,0.0
-4.1008805468824224e-07,0.0,-1.0980777795862576e-17,0.0,-7.306166357164639e-18,0.0,2.201689256887546e-17,0.0,1.788243588961621e-08,0.0,2.716258057286878e-17,0.0
2.552109901864683e-07,0.0,1.2883181637683584e-17,0.0,3.730949563383632e-18,0.0,1.1602555742010255e-17,0.0,-2.0393995677281228e-07,0.0,5.429250839098485e-18,0.0
-3.1608031739021404e-07,0.0,9.598157335544184e-18,0.0,-3.096172010738133e-17,0.0,-3.9376205309783325e-18,0.0,-2.903077294414062e-08,0.0,9.229723915831614e-18,0.0
-3.264638370226586e-07,0.0,3.717399585736963e-18,0.0,-1.3859102508665162e-18,0.0,5.023739478232037e-17,0.0,2.0263799267472905e-08,0.0,3.6235703831551246e-17,0.0
-9.125271797362716e-07,0.0,-7.846624426222583e-18,0.0,3.780583925168411e-17,0.0,-1.6833690732660814e-17,0.0,-3.388438034936087e-07,0.0,-1.8110079904384774e-17,0.0
-6.03360830152649e-07,0.0,-9.623287162448942e-18,0.0,1.348990312112176e-17,0.0,-1.0552108550052392e-17,0.0,-8.511422240711151e-08,0.0,-8.2751179061228645e-19,0.0
-4.3447988443995046e-08,0.0,-1.3385075761265456e-17,0.0,-3.896078984362947e-17,0.0,2.287812274048776e-17,0.0,-7.167657604545057e-07,0.0,-2.6851056925152437e-19,0.0
3.758007644912962e-07,0.0,5.228975922976494e-19,0.0,-8.452136651579903e-18,0.0,-1.0518894827333005e-17,0.0,-1.0019722774376518e-07,0.0,-2.995645977858748e-17,0.0
