Ex_Re,Ex_Im,Ey_Re,Ey_Im,Ez_Re,Ez_Im,Hx_Re,Hx_Im,Hy_Re,Hy_Im,Hz_Re,Hz_Im
0.485431,-0.514156,-0.485431,0.514156,0,0,0.0342397,-0.0362658,0.0342397,-0.0362658,-0.684794,0.725316
-0.437871,0.55522,0.437871,-0.55522,0,0,-0.030885,0.0391622,-0.030885,0.0391622,0.617701,-0.783244
0.485351,-0.514231,-0.485351,0.514231,0,0,0.034234,-0.0362711,0.034234,-0.0362711,-0.684681,0.725422
-0.70255,-0.080148,0.70255,0.080148,0,0,-0.049554,-0.0056532,-0.049554,-0.0056532,0.991081,0.113064
-0.213303,0.674167,0.213303,-0.674167,0,0,-0.0150452,0.0475521,-0.0150452,0.0475521,0.300905,-0.951042
0.706887,0.0176331,-0.706887,-0.0176331,0,0,0.04986,0.00124374,0.04986,0.00124374,-0.997199,-0.0248749
0.661494,-0.249853,-0.661494,0.249853,0,0,0.0466582,-0.0176232,0.0466582,-0.0176232,-0.933163,0.352465
-0.329265,0.625767,0.329265,-0.625767,0,0,-0.0232246,0.0441382,-0.0232246,0.0441382,0.464492,-0.882764
0.275551,-0.651208,-0.275551,0.651208,0,0,0.0194359,-0.0459327,0.0194359,-0.0459327,-0.388717,0.918653
-0.486232,-0.513399,0.486232,0.513399,0,0,-0.0342961,-0.0362124,-0.0342961,-0.0362124,0.685923,0.724248
-0.659576,-0.254871,0.659576,0.254871,0,0,-0.0465229,-0.0179772,-0.0465229,-0.0179772,0.930458,0.359544
-0.557887,0.434467,0.557887,-0.434467,0,0,-0.0393503,0.030645,-0.0393503,0.030645,0.787007,-0.612899
0.0890895,-0.701472,-0.0890895,0.701472,0,0,0.00628389,-0.049478,0.00628389,-0.049478,-0.125678,0.98956
-0.705589,-0.0463117,0.705589,0.0463117,0,0,-0.0497684,-0.00326658,-0.0497684,-0.00326658,0.995368,0.0653316
-0.0901081,-0.701342,0.0901081,0.701342,0,0,-0.00635573,-0.0494688,-0.00635573,-0.0494688,0.127115,0.989377
0.467979,0.53009,-0.467979,-0.53009,0,0,0.0330087,0.0373897,0.0330087,0.0373897,-0.660174,-0.747794
-0.413417,0.57366,0.413417,-0.57366,0,0,-0.0291602,0.0404629,-0.0291602,0.0404629,0.583204,-0.809257
-0.70233,-0.0820496,0.70233,0.0820496,0,0,-0.0495386,-0.00578733,-0.0495386,-0.00578733,0.990771,0.115747
0.694696,0.131897,-0.694696,-0.131897,0,0,0.0490001,0.0093033,0.0490001,0.0093033,-0.980002,-0.186066
0.53929,-0.457347,-0.53929,0.457347,0,0,0.0380386,-0.0322588,0.0380386,-0.0322588,-0.760771,0.645176
-0.601626,0.371546,0.601626,-0.371546,0,0,-0.0424354,0.0262069,-0.0424354,0.0262069,0.848708,-0.524137
-0.422878,-0.566722,0.422878,0.566722,0,0,-0.0298275,-0.0399735,-0.0298275,-0.0399735,0.59655,0.79947
-0.301434,0.639638,0.301434,-0.639638,0,0,-0.0212615,0.0451166,-0.0212615,0.0451166,0.425231,-0.902332
0.525234,0.473422,-0.525234,-0.473422,0,0,0.0370472,0.0333926,0.0370472,0.0333926,-0.740944,-0.667853
-0.271878,0.65275,0.271878,-0.65275,0,0,-0.0191768,0.0460414,-0.0191768,0.0460414,0.383536,-0.920829
-0.576462,0.409502,0.576462,-0.409502,0,0,-0.0406605,0.028884,-0.0406605,0.028884,0.81321,-0.57768
0.274323,-0.651726,-0.274323,0.651726,0,0,0.0193493,-0.0459692,0.0193493,-0.0459692,-0.386985,0.919384
-0.515442,0.484065,0.515442,-0.484065,0,0,-0.0363565,0.0341433,-0.0363565,0.0341433,0.72713,-0.682866
0.333057,0.623757,-0.333057,-0.623757,0,0,0.023492,0.0439964,0.023492,0.0439964,-0.46984,-0.879929
0.0435242,-0.705766,-0.0435242,0.705766,0,0,0.00306996,-0.0497809,0.00306996,-0.0497809,-0.0613992,0.995618
-0.110068,0.698488,0.110068,-0.698488,0,0,-0.00776359,0.0492675,-0.00776359,0.0492675,0.155272,-0.98535
-0.707029,0.0105117,0.707029,-0.0105117,0,0,-0.04987,0.000741441,-0.04987,0.000741441,0.997399,-0.0148288
0.669996,0.226065,-0.669996,-0.226065,0,0,0.0472579,0.0159454,0.0472579,0.0159454,-0.945157,-0.318908
-0.440033,-0.553508,0.440033,0.553508,0,0,-0.0310375,-0.0390414,-0.0310375,-0.0390414,0.62075,0.780829
-0.688194,-0.162448,0.688194,0.162448,0,0,-0.0485414,-0.0114582,-0.0485414,-0.0114582,0.970829,0.229164
-0.125711,-0.695843,0.125711,0.695843,0,0,-0.00886694,-0.0490809,-0.00886694,-0.0490809,0.177339,0.981619
