Ex_Re,Ex_Im,Ey_Re,Ey_Im,Ez_Re,Ez_Im,Hx_Re,Hx_Im,Hy_Re,Hy_Im,Hz_Re,Hz_Im
-0.241367,-0.154244,-0.664136,-0.424412,-0.459039,-0.293346,0.000883511,0.000564602,0.000940331,0.000600912,-0.00182508,-0.00116631
-0.167883,0.232087,-0.46194,0.638604,-0.319284,0.441392,0.000614525,-0.000849544,0.000654047,-0.00090418,-0.00126943,0.00175492
-0.0803493,-0.274942,-0.221086,-0.756521,-0.152811,-0.522894,0.000294114,0.00100641,0.000313029,0.00107114,-0.000607557,-0.00207896
-0.193327,0.211362,-0.531952,0.581575,-0.367676,0.401975,0.000707663,-0.000773679,0.000753175,-0.000823435,-0.00146183,0.0015982
-0.18219,0.221034,-0.501307,0.608189,-0.346495,0.420369,0.000666897,-0.000809083,0.000709786,-0.000861117,-0.00137762,0.00167133
-0.247981,-0.143368,-0.682337,-0.394486,-0.471619,-0.272662,0.000907723,0.000524791,0.0009661,0.000558542,-0.0018751,-0.00108407
0.141592,-0.248999,0.3896,-0.685138,0.269285,-0.473555,-0.000518291,0.00091145,-0.000551624,0.000970067,0.00107064,-0.0018828
0.286071,0.0145706,0.787144,0.040092,0.54406,0.0277109,-0.00104715,-5.3335e-05,-0.00111449,-5.6765e-05,0.00216311,0.000110175
-0.153665,0.241736,-0.422818,0.665152,-0.292244,0.459742,0.000562481,-0.000884862,0.000598655,-0.00094177,-0.00116193,0.00182787
0.114424,-0.262595,0.314845,-0.722548,0.217615,-0.499412,-0.000418842,0.000961216,-0.000445779,0.00102303,0.000865209,-0.0019856
-0.187586,0.216473,-0.516155,0.59564,-0.356757,0.411696,0.000686649,-0.000792388,0.000730809,-0.000843349,-0.00141842,0.00163685
-0.269876,0.0960007,-0.742581,0.264152,-0.513259,0.182577,0.000987867,-0.000351406,0.0010514,-0.000374005,-0.00204065,0.000725904
0.11887,0.260613,0.327079,0.717093,0.226071,0.495642,-0.000435118,-0.000953959,-0.000463101,-0.00101531,0.00089883,0.00197061
-0.128636,-0.255933,-0.35395,-0.704217,-0.244644,-0.486743,0.000470865,0.000936831,0.000501147,0.000997081,-0.000972672,-0.00193523
0.187023,0.21696,0.514605,0.596979,0.355686,0.412622,-0.000684587,-0.000794171,-0.000728614,-0.000845245,0.00141416,0.00164053
0.252248,-0.13572,0.694077,-0.373443,0.479734,-0.258117,-0.000923341,0.000496797,-0.000982723,0.000528747,0.00190736,-0.00102624
-0.128084,-0.25621,-0.352431,-0.704979,-0.243594,-0.487269,0.000468844,0.000937844,0.000498997,0.000998159,-0.000968499,-0.00193732
0.147481,0.245558,0.405803,0.675667,0.280484,0.467009,-0.000539846,-0.000898851,-0.000574564,-0.000956658,0.00111517,0.00185677
-0.157362,0.239346,-0.432991,0.658575,-0.299276,0.455196,0.000576015,-0.000876112,0.00061306,-0.000932457,-0.00118988,0.0018098
-0.277245,0.0720011,-0.762858,0.198116,-0.527274,0.136934,0.00101484,-0.000263556,0.00108011,-0.000280506,-0.00209637,0.000544432
-0.278998,0.0648775,-0.767682,0.178515,-0.530608,0.123386,0.00102126,-0.000237481,0.00108694,-0.000252754,-0.00210963,0.000490568
-0.124486,0.257978,-0.34253,0.709842,-0.236751,0.49063,0.000455673,-0.000944313,0.000484979,-0.00100504,-0.000941292,0.00195068
-0.230171,0.1705,-0.633331,0.469143,-0.437747,0.324263,0.000842529,-0.000624108,0.000896714,-0.000664246,-0.00174043,0.00128923
0.262422,0.114822,0.72207,0.31594,0.499082,0.218372,-0.00096058,-0.000420299,-0.00102236,-0.00044733,0.00198429,0.000868219
-0.20617,0.198854,-0.56729,0.54716,-0.392101,0.378188,0.000754675,-0.000727896,0.000803209,-0.000774708,-0.00155894,0.00150363
-0.220733,-0.182555,-0.60736,-0.502311,-0.419797,-0.347188,0.000807981,0.000668232,0.000859944,0.000711207,-0.00166906,-0.00138038
0.171003,-0.229798,0.470526,-0.632303,0.325219,-0.437037,-0.000625948,0.000841163,-0.000666204,0.00089526,0.00129303,-0.0017376
-0.23455,-0.164425,-0.645378,-0.452427,-0.446074,-0.312709,0.000858556,0.00060187,0.000913772,0.000640577,-0.00177353,-0.00124329
0.100013,0.268415,0.275192,0.738561,0.190208,0.51048,-0.000366092,-0.000982519,-0.000389636,-0.00104571,0.000756241,0.0020296
