type,x,y,z,test_index
int,-0.4466903986924464,-0.03200187874264465,0.09153089644996673,74
int,-0.01542643395663982,-0.06503097956515502,0.10723241770111366,76
int,0.3937941018310407,-0.08216233535300022,0.032420842633847535,78
int,0.8003200612390652,-0.07518487076433152,-0.05555047762261803,80
int,-0.6660679605834924,0.0877578288870518,0.06581223465377234,82
int,-0.22407403009782126,0.06018727587894309,0.1430531443521075,84
int,0.1931581987914802,0.024602295807707678,0.10576822861251362,86
int,0.5962205387106009,0.02094375884384004,-0.00041020013143755474,88
int,-0.8866648542962421,0.19732179830527016,0.01574032326116795,90
int,-0.4417928144066206,0.18899439051551428,0.14212775434023975,92
int,-0.01062607906239569,0.14374842145793776,0.17303889264197378,94
int,0.39415942789720226,0.1193335109541046,0.07634454337339769,96
int,0.7985015427906625,0.1296060479390761,-0.03891858417536222,98
int,-0.6654916071844025,0.3096515613087045,0.10015432423914,100
int,-0.2236362572040447,0.2760299561853449,0.20806791788587317,102
int,0.19108298401640827,0.22693281543074736,0.16417947063910152,104
int,0.5928072502741942,0.22314341580120026,0.026793367387384498,106
int,-0.8883536874984334,0.41628475103208473,0.030982586111939242,108
int,-0.4474703352182305,0.40974795976021444,0.19291310399825107,110
int,-0.01834146409772148,0.35094156919585573,0.23473999301500312,112
int,0.3866995595194192,0.32026774080076625,0.11547750090637973,114
int,0.7939891185169109,0.334933409667387,-0.02696451326534431,116
int,-0.6741610996618995,0.5293788657634223,0.12835436343848183,118
int,-0.23930248948895624,0.4908363263969631,0.2579738751271211,120
int,0.17608095925726008,0.42931582389813633,0.20779914580283426,122
int,0.5841069609316693,0.4269583762531066,0.04448074691972673,124
int,-0.8958624648502355,0.6318502445883334,0.038131918774131135,126
int,-0.4675122933686247,0.627027294076789,0.22144169708289788,128
int,-0.043615933074940307,0.5582935530721429,0.26785945903927555,130
int,0.37056263975996423,0.5245497336082963,0.134752162896113,132
int,0.7871576258153365,0.5428241359301084,-0.024323182920924835,134
int,-0.6913475037493737,0.743098655160854,0.1332049861785511,136
int,-0.27146495385408204,0.7029205571770272,0.27036436398004193,138
int,0.14971492610488665,0.6364709597532602,0.21737775268146275,140
int,0.5717801995847329,0.6355306161056606,0.04402009161800802,142
int,-0.906849686535498,0.8412839719360247,0.027690034582631418,144
int,-0.49553002213266106,0.8368324196756373,0.21046109371240965,146
int,-0.07849743400632449,0.7689520303173618,0.2570838306757612,148
int,0.3508298777108521,0.7359020996794189,0.1228149099610876,150
int,0.7799755921453697,0.7548587403914334,-0.03379835112363484,152
int,-0.7096928523286805,0.9486619238210823,0.10546729698491644,154
int,-0.3038640144993394,0.9111755130489442,0.23597063978498573,156
int,0.12374485115049305,0.8515192160716551,0.1842333130968723,158
int,0.5603051180505241,0.8503937222957302,0.022200659539060863,160
ext,-0.9079958826448306,-0.9072952974575548,0.23328755532059056,0
ext,-0.49195118169281116,-0.8949040248762482,0.2546612759711674,2
ext,-0.07025698619090336,-0.8832337546659754,0.23467531935966585,4
ext,0.35601141260409075,-0.8820268944784817,0.19544462563259574,6
ext,0.7828494621045259,-0.8869417699541309,0.16465075164178916,8
ext,-0.699061784962442,-0.7981353879848169,0.2608602177993019,10
ext,-0.2816502005210407,-0.782753547425369,0.26340255423868747,12
ext,0.14174407732933963,-0.7748317901183523,0.22704565020368092,14
ext,0.5686102291539606,-0.7774949330363411,0.1853870181958167,16
ext,-0.9043588751945626,-0.7001046724403799,0.25084853403369284,18
ext,-0.4900494590999992,-0.6862825095878345,0.28118462604750405,20
