0.00431725+-0.0247281i,0.00934244+-0.014281i,9.41757e-05+0.0013898i
-0.00183467+-0.0247624i,0.00393178+-0.0137772i,0.000195193+0.00139938i
-0.00800512+-0.0233559i,-0.00119274+-0.0119392i,0.000348635+0.00139579i
0.0386559+-0.0184456i,0.0174834+-0.0048761i,0.00469987+-0.00092515i
0.0409641+-0.0126775i,0.0200023+-0.00469726i,0.00451019+2.46518e-05i
0.0419912+-0.00751038i,0.0227261+-0.00395501i,0.0041292+0.000804219i
0.0420388+-0.0032144i,0.0253618+-0.00273619i,0.00362691+0.00139618i
0.0414018+5.36677e-05i,0.0276945+-0.00122779i,0.00306502+0.00180514i
0.0403352+0.00222896i,0.0295961+0.000337301i,0.00249293+0.00205109i
0.0390334+0.00331469i,0.0310129+0.0017247i,0.00194655+0.00216312i
0.0376207+0.00336079i,0.0319409+0.00272962i,0.00144926+0.00217408i
0.0361499+0.00244784i,0.0323991+0.0031953i,0.00101414+0.0021165i
0.0346078+0.000677555i,0.0324048+0.00302216i,0.000646743+0.00201979i
0.0329249+-0.00183012i,0.0319567+0.00217138i,0.000347911+0.00190849i
0.0309891+-0.00493458i,0.0310263+0.0006662i,0.000116164+0.00180138i
0.028663+-0.00846857i,0.0295586+-0.00140732i,-5.06169e-05+0.00171099i
0.025804+-0.0122315i,0.0274831+-0.00389984i,-0.000154306+0.00164356i
0.0222881+-0.0159846i,0.0247324+-0.0066i,-0.000196467+0.00159929i
0.0180352+-0.0194523i,0.0212682+-0.00924028i,-0.000178997+0.00157293i
0.0130348+-0.0223304i,0.017111+-0.0115107i,-0.000105198+0.00155489i
0.00736832+-0.0243059i,0.0123699+-0.0130836i,1.9104e-05+0.00153296i
0.00122329+-0.0250863i,0.00726368+-0.0136517i,0.000184915+0.0014944i
-0.00510459+-0.0244364i,0.00212925+-0.0129777i,0.000380378+0.00142839i
0.0379813+-0.0143028i,0.0161555+-0.00176091i,0.00417946+-0.000505818i
0.0399668+-0.00876179i,0.0181951+-0.00155971i,0.00395088+0.00036124i
0.0407908+-0.00380546i,0.020489+-0.000850118i,0.00354422+0.00106645i
0.0407347+0.000310254i,0.0227655+0.000302293i,0.00302659+0.00159255i
