Ex_Re,Ex_Im,Ey_Re,Ey_Im,Ez_Re,Ez_Im,Hx_Re,Hx_Im,Hy_Re,Hy_Im,Hz_Re,Hz_Im
0,0,0.700739,-0.713417,0,0,0,0,0.700739,-0.713417,0,0
0,0,0.944475,0.328582,0,0,0,0,0.944475,0.328582,0,0
0,0,0.646216,0.763154,0,0,0,0,0.646216,0.763154,0,0
0,0,0.936092,-0.351756,0,0,0,0,0.936092,-0.351756,0,0
0,0,0.824919,0.565251,0,0,0,0,0.824919,0.565251,0,0
0,0,0.89931,-0.437311,0,0,0,0,0.89931,-0.437311,0,0
0,0,0.870118,0.492844,0,0,0,0,0.870118,0.492844,0,0
0,0,0.811499,-0.584354,0,0,0,0,0.811499,-0.584354,0,0
0,0,0.764893,-0.644158,0,0,0,0,0.764893,-0.644158,0,0
0,0,0.994001,0.10937,0,0,0,0,0.994001,0.10937,0,0
0,0,0.911301,0.411742,0,0,0,0,0.911301,0.411742,0,0
0,0,0.710182,-0.704018,0,0,0,0,0.710182,-0.704018,0,0
0,0,0.9897,-0.14316,0,0,0,0,0.9897,-0.14316,0,0
0,0,0.815581,0.578643,0,0,0,0,0.815581,0.578643,0,0
0,0,0.95705,0.289924,0,0,0,0,0.95705,0.289924,0,0
0,0,0.999295,-0.037553,0,0,0,0,0.999295,-0.037553,0,0
0,0,0.755148,-0.655555,0,0,0,0,0.755148,-0.655555,0,0
0,0,0.705646,0.708564,0,0,0,0,0.705646,0.708564,0,0
0,0,0.977079,-0.212877,0,0,0,0,0.977079,-0.212877,0,0
0,0,0.741621,-0.67082,0,0,0,0,0.741621,-0.67082,0,0
0,0,0.770385,0.637579,0,0,0,0,0.770385,0.637579,0,0
0,0,0.758091,0.652148,0,0,0,0,0.758091,0.652148,0,0
0,0,0.936755,0.349987,0,0,0,0,0.936755,0.349987,0,0
0,0,0.730878,0.682509,0,0,0,0,0.730878,0.682509,0,0
0,0,0.986551,0.163451,0,0,0,0,0.986551,0.163451,0,0
0,0,0.993556,-0.11334,0,0,0,0,0.993556,-0.11334,0,0
0,0,0.817696,0.57565,0,0,0,0,0.817696,0.57565,0,0
0,0,0.933949,-0.357407,0,0,0,0,0.933949,-0.357407,0,0
0,0,0.997978,-0.0635569,0,0,0,0,0.997978,-0.0635569,0,0
0,0,0.96803,0.250833,0,0,0,0,0.96803,0.250833,0,0
0,0,0.912471,0.409141,0,0,0,0,0.912471,0.409141,0,0
0,0,0.600137,-0.799897,0,0,0,0,0.600137,-0.799897,0,0
0,0,0.967736,0.251965,0,0,0,0,0.967736,0.251965,0,0
0,0,0.955611,0.294631,0,0,0,0,0.955611,0.294631,0,0
0,0,0.745126,0.666924,0,0,0,0,0.745126,0.666924,0,0
0,0,0.922328,-0.386408,0,0,0,0,0.922328,-0.386408,0,0
0,0,0.999099,0.0424329,0,0,0,0,0.999099,0.0424329,0,0
0,0,0.958832,0.283973,0,0,0,0,0.958832,0.283973,0,0
