frequency,beta,direction,flux,type
2.7777777777777777,14.999999999999998,Y2,1.4151081606382842e-19,incident
3.055555555555556,14.999999999999998,Y2,3.9757702908711804e-20,incident
3.3333333333333335,14.999999999999998,Y2,-1.0969872700139899e-19,incident
1.6666666666666665,14.999999999999998,Z1,-6.057792810473154e-07,incident
1.9444444444444444,14.999999999999998,Z1,-0.00020529449441227673,incident
2.2222222222222223,14.999999999999998,Z1,-0.007811760778946444,incident
2.5,14.999999999999998,Z1,-0.03317100460478188,incident
2.7777777777777777,14.999999999999998,Z1,-0.01632794285385267,incident
3.055555555555556,14.999999999999998,Z1,-0.001002116872875477,incident
3.3333333333333335,14.999999999999998,Z1,-1.7877673607257208e-05,incident
1.6666666666666665,14.999999999999998,Z2,-5.991711475023185e-07,incident
1.9444444444444444,14.999999999999998,Z2,-0.000205673448509921,incident
2.2222222222222223,14.999999999999998,Z2,-0.007816649201089623,incident
2.5,14.999999999999998,Z2,-0.03316761779243276,incident
2.7777777777777777,14.999999999999998,Z2,-0.01631064521657963,incident
3.055555555555556,14.999999999999998,Z2,-0.0010024731434632918,incident
3.3333333333333335,14.999999999999998,Z2,-2.0239679675446252e-05,incident
1.6666666666666665,29.999999999999996,X1,6.932782965112225e-22,incident
1.9444444444444444,29.999999999999996,X1,1.5751522620326154e-20,incident
2.2222222222222223,29.999999999999996,X1,1.3450533145945882e-20,incident
2.5,29.999999999999996,X1,-4.870312868026867e-19,incident
2.7777777777777777,29.999999999999996,X1,1.6586069399732265e-19,incident
3.055555555555556,29.999999999999996,X1,-2.811225904035671e-20,incident
3.3333333333333335,29.999999999999996,X1,1.8148555913981215e-20,incident
1.6666666666666665,29.999999999999996,X2,1.083288057991097e-21,incident
1.9444444444444444,29.999999999999996,X2,-2.0385776357894407e-20,incident
2.2222222222222223,29.999999999999996,X2,-1.654524601884799e-19,incident
2.5,29.999999999999996,X2,2.3251274717788743e-19,incident
2.7777777777777777,29.999999999999996,X2,2.6444409784835796e-20,incident
