type,x,y,z,test_index
ext,-0.25927859165501066,-0.13987353306223868,-0.05044605121317896,66
ext,0.1702288216602389,-0.12295659510074175,0.07295420937527074,68
ext,0.6025534303792737,-0.132457720660969,0.22291996445343373,70
ext,-0.8946039145020005,-0.05085813340800961,-0.09927369665020426,72
ext,-0.47263977010546326,-0.0423297006815289,-0.07817136959838357,74
ext,-0.04815016560823106,-0.02311391342107945,0.007410822485860877,76
ext,0.3793396061389401,-0.015027080253817764,0.17096223976857067,78
ext,0.8060696330230396,-0.0464629036943027,0.2777095840445164,80
ext,-0.6841135084430566,0.05740532494093466,-0.09288935573011488,82
ext,-0.26259215409173375,0.07236560201294552,-0.04529466343628033,84
ext,0.15968925965201355,0.09080051187226176,0.08986377168431874,86
ext,0.5824686539972183,0.08112286383643948,0.25216101659162155,88
ext,-0.8948087610229307,0.15970751857400386,-0.09920682093432642,90
ext,-0.47424918847078323,0.16842317445119945,-0.0776288423475113,92
ext,-0.0550533306209262,0.18803147913874918,0.009861740525527185,94
ext,0.36250775856557077,0.19637197262781808,0.17675723157443102,96
ext,0.7804105438626098,0.16425929438574108,0.28516320554312474,98
ext,-0.6847188005486788,0.26770205135847014,-0.09334543872514948,100
ext,-0.26612552473078116,0.2819664588124048,-0.04808266958383283,102
ext,0.14847074084154605,0.29957821561942083,0.0807272752791581,104
ext,0.5607189713303151,0.2899561739211156,0.23644162732927354,106
ext,-0.8949850835878879,0.37002776436810325,-0.09955702560586971,108
ext,-0.4756361703992936,0.377761432857854,-0.08046805458677309,110
ext,-0.06104319763831653,0.3952997062013711,-0.0029854913142690898,112
ext,0.34807307980799435,0.40241931909255585,0.14619395282038627,114
ext,0.759440053832079,0.3738368022814512,0.24523639034807354,116
ext,-0.6851280818991075,0.4774355057867462,-0.0949170400390617,118
ext,-0.26853758666407923,0.48927603594292146,-0.05768794786283373,120
ext,0.14070319407109746,0.5040662689721441,0.04897834789301454,122
ext,0.5468400019678935,0.49526944543729523,0.18051209702944615,124
ext,-0.8950703769247469,0.5801821397320063,-0.10018825157220716,126
ext,-0.4763108214031729,0.586136412565313,-0.08557302160641882,128
ext,-0.06406408350884252,0.5998427861444703,-0.026200471812319354,130
ext,0.3408982938184958,0.6052506134434983,0.08987828131754441,132
ext,0.7504334719593785,0.5829740256402,0.16902717375129647,134
ext,-0.6852270957684985,0.6868956967675738,-0.09702175470438626,136
ext,-0.2691483855436887,0.6954278151136815,-0.07053415585913136,138
ext,0.13849525511213712,0.7063607649014483,0.0058924039697561825,140
ext,0.543397390948089,0.6996515952755623,0.10226917811125931,142
ext,-0.8950553456312768,0.7902964583716542,-0.10088610826323806,144
ext,-0.47619587168106947,0.7942705493557553,-0.09119397331717526,146
ext,-0.0636835811072597,0.8035688985301318,-0.05187892326227443,148
ext,0.3415534946842698,0.8073907384661014,0.026093744730475238,150
ext,0.7519362031595698,0.7921752693878052,0.08045503506414775,152
ext,-0.6850678771490842,0.8964032095922047,-0.09902351615799496,154
ext,-0.26823031509366313,0.901725891935878,-0.08270885994025909,156
ext,0.14120660481589306,0.908757662067987,-0.03550053058299814,158
ext,0.5482105559516822,0.9045605234125078,0.025123440442369402,160
