-0.0327142+0.00535458i
-0.00547185+-0.0516478i
0.0417357+-0.00432642i
0.0319976+-0.00819159i
0.0315703+-0.0130639i
0.0304201+-0.00173131i
0.0135502+0.0178086i
0.0231442+-0.0378005i
0.0235963+-0.0258593i
0.0234092+-0.027493i
0.0289909+-0.032062i
-0.0274986+-0.0159683i
-0.0230291+-0.026863i
-0.0204524+-0.0357707i
-0.0153946+-0.0363627i
0.00287437+-0.0403126i
-0.0325966+0.0174822i
-0.0372385+0.0113614i
-0.0446418+0.0115759i
-0.0492825+0.00816838i
0.0167374+0.0122678i
0.00714585+0.0320692i
0.00428735+0.0447923i
0.00237831+0.0522142i
-0.0244391+0.0451684i
0.0325164+-0.00591565i
0.0424965+0.00452447i
0.0494328+0.00351196i
0.0601617+0.0110362i
-0.00473612+-0.00742727i
0.00486516+-0.0298818i
0.0136602+-0.0424384i
0.019743+-0.0545024i
0.0321832+-0.0462578i
-0.0258537+0.00099698i
-0.0335193+-0.0177i
-0.0482002+-0.0256236i
-0.0593397+-0.0314228i
-0.00150173+0.00823687i
-0.0126322+0.0139551i
-0.0291307+0.0251314i
-0.0412607+0.0519388i
-0.040124+0.0366551i
0.019761+-0.00530054i
0.00953891+0.0283025i
0.0306977+0.0415063i
0.0485899+0.0447979i
-0.00116373+-0.00954127i
0.0139723+0.0061566i
0.0337792+0.00254808i
0.0527015+-0.0208816i
0.0314143+-0.0283208i
-0.0123943+0.0199947i
0.00931097+-0.0208791i
0.00471877+-0.03991i
-0.0233958+-0.0423503i
0.00446339+0.00961251i
-0.00225799+-0.0112263i
-0.024466+-0.01891i
-0.0336813+-0.0105901i
-0.0183077+0.0176486i
0.00351525+-0.0387398i
-0.00096951+0.00731159i
-0.0233289+0.0175767i
0.00389469+0.0306237i
0.0120348+-0.0236663i
-0.0274679+0.00558292i
0.017362+0.00935099i
0.0118+0.00811516i
0.014307+-0.00478422i
-0.00250056+0.0171935i
0.000780583+0.0175609i
0.00753482+0.00634653i
0.00373075+-0.0255546i
-0.00468095+0.0475822i
0.0455811+-0.039061i
0.0257184+-0.0270967i
-0.00786738+0.0165796i
-0.0154075+-0.016225i
0.0464629+-0.0405175i
-0.056786+-0.0578221i
0.0282059+-0.0494716i
-0.00117726+0.0340066i
-0.0010577+0.00520621i
-0.00649749+0.00744915i
-0.0050307+0.00666123i
-0.00367445+0.00617849i
-0.00126741+0.00174845i
-0.000103278+0.0025991i
0.00277116+0.00476483i
0.00443507+0.00337732i
0.00368285+0.000345461i
-0.00179103+-0.000500687i
0.00425393+-0.00525506i
0.00498484+-0.00729724i
0.00561878+-0.00404465i
0.00304526+0.00101912i
-0.00857906+-0.00288147i
-0.00838999+-0.00407881i
-0.00873281+-0.00394812i
-0.00876392+-0.00617306i
-0.00235113+0.000719253i
-0.00583076+0.00637423i
-0.00371845+0.00509255i
-0.00876616+0.00547695i
-0.00402551+4.52731e-05i
0.00318636+0.00126954i
0.00465846+0.00771421i
0.00170875+0.00827177i
0.00553756+0.00911579i
-1.01015e-05+-0.00198498i
0.00353679+-0.00236515i
0.00665832+-0.000708504i
0.0102694+-0.00257567i
0.00721563+-0.00111264i
-0.00335454+-0.000335822i
0.0030864+-0.00526499i
0.00248761+-0.00809833i
-0.00287077+-0.0121786i
-0.00012555+0.00472124i
-0.00362289+-0.00175541i
-0.00682835+-0.00614497i
-0.00666908+-0.00131574i
-0.00787634+-0.000291366i
-0.002379+0.00304285i
-0.000367418+0.0115708i
-0.00810454+0.00906432i
-0.00288786+0.00319099i
0.000592912+-0.00278687i
0.0089184+-0.00070285i
0.0107+-0.00753255i
0.00281852+0.00112528i
0.00575199+0.000855163i
0.00535197+-0.0011653i
-0.00837612+-0.00363889i
-0.00182239+-0.005652i
0.00149933+-0.00100979i
0.00666633+0.0068714i
-0.00751995+0.00649345i
-0.00257094+0.00933475i
-0.00158361+0.00455815i
-0.00151579+0.000185132i
-0.00199334+0.00122772i
0.0132202+-0.00192301i
-0.000605193+-0.000196517i
0.00325122+-0.00405807i
-0.00176377+-0.00260163i
0.0104062+-0.00461681i
9.4836e-05+-0.00770413i
0.000602339+-0.0034368i
-0.00358789+-0.00226721i
-0.000806948+0.00910999i
-0.0150862+-0.00537781i
-0.00782441+-0.00415662i
0.00164064+0.00235523i
-0.00387489+-0.000821174i
0.0043296+-0.00133416i
-0.00350865+0.0116608i
-0.00572795+-0.00019911i
-0.000992297+5.31195e-05i
0.00300061+0.00085343i
-0.000962796+-0.00624326i
0.00382361+0.00340865i
-0.000143912+0.00116924i
-0.00458443+-0.00654982i
-0.00259676+-0.00612322i
-0.00491686+-0.00468471i
-0.00130943+-0.00544811i
-0.000909803+-0.000347011i
-0.00776419+0.000507244i
-0.00296654+-0.0018953i
-0.00444754+-0.000928811i
-0.00846708+-0.0014814i
0.00873028+0.00286975i
0.00255481+0.00430973i
-0.00275929+0.0037537i
-0.00596281+0.00221995i
-0.00462791+-0.00130582i
0.00542533+-0.00272532i
0.00203161+0.00175891i
0.00303312+0.00353851i
0.00511713+0.00465293i
-0.00809129+-0.00240608i
0.00146522+-0.00442754i
0.006545+-0.00219088i
0.0084455+-0.00539636i
0.00925603+0.00164953i
-0.00382414+0.00107786i
-0.000979804+-0.0047169i
-0.00223654+-0.00537751i
-0.00730495+-0.0100019i
0.00919804+0.0035529i
-0.000456639+0.00201377i
-0.00702773+-0.00303244i
-0.00879398+-0.00028322i
-0.0120652+0.00147408i
0.00379566+-0.00181926i
-0.0013037+0.00457932i
-0.00303247+0.00565707i
0.00370606+0.0104325i
-0.00418315+-0.00562801i
0.00164148+0.000369173i
0.0069308+0.00342467i
0.00999759+0.00271246i
0.0117763+0.00015471i
-0.0030528+0.000401402i
-0.000511658+-0.00269931i
0.00101553+-0.00483633i
-0.0021946+-0.0111213i
0.00277962+0.00555066i
0.00153221+-0.00108303i
-0.00108698+0.00131718i
-0.0062306+0.000130475i
-0.00438008+0.0067706i
0.00283827+-0.0014062i
-0.000323755+-0.00380872i
0.00246577+-0.00145616i
0.00623407+0.0049117i
-0.00253755+-0.00386383i
-0.00424139+-0.00169404i
-0.00451121+0.00123586i
-0.00136537+-0.00855063i
0.00188647+-0.0130151i
-0.0086146+0.00391836i
0.00319376+0.00230151i
0.00173086+0.00791403i
-0.00639315+0.00677428i
0.00296266+-0.00548986i
0.00388907+0.00266692i
-0.00286285+-0.00224331i
0.00223742+-0.00699176i
0.00735871+0.0120372i
0.00298808+-0.00765229i
0.00631762+0.000459787i
-0.00205533+0.00245763i
-0.00292847+-0.024739i
0.00547517+-0.00176141i
-0.0117674+-0.00148721i
0.00148121+-0.00893113i
0.00184048+0.0156951i
-0.0185448+-0.0211764i
-0.00711935+0.00350461i
0.000974461+0.00908606i
-0.00691785+-0.00773413i
-0.00304631+0.0127578i
