0.00982213+0.0825965i,0.038314+0.00294165i,0.00377043+0.00136516i
0.0117819+0.0848652i,0.0355265+0.00249294i,0.00317752+0.00019552i
0.015959+0.0857378i,0.0322762+0.00123736i,0.00243667+-0.00103235i
0.0221275+0.0848147i,0.0285146+-0.000497217i,0.001479+-0.00220451i
0.0298181+0.0816557i,0.0242208+-0.00232909i,0.000269198+-0.00318445i
0.0383028+0.0758818i,0.019448+-0.00384623i,-0.00117438+-0.00382273i
0.0466189+0.067302i,0.0143647+-0.00464674i,-0.00276408+-0.00397787i
0.0262442+-0.0265809i,-0.0194774+-0.043432i,0.00454281+-0.00951304i
0.0354421+-0.0171983i,-0.00624002+-0.047071i,0.00700294+-0.00746448i
0.0412523+-0.00540289i,0.00667268+-0.0466633i,0.00855874+-0.00500861i
0.043501+0.00750787i,0.0181344+-0.0429748i,0.00926225+-0.002505i
0.0424828+0.0204342i,0.0274704+-0.0369779i,0.00926565+-0.000224144i
0.0388057+0.0325742i,0.034419+-0.0296658i,0.00876753+0.00166147i
0.0332422+0.043446i,0.0390415+-0.0219242i,0.00796977+0.00306693i
0.026611+0.0528538i,0.0416134+-0.0144625i,0.00704825+0.00397426i
0.0196949+0.0608199i,0.0425211+-0.007792i,0.0061365+0.00440929i
0.0131951+0.0675026i,0.0421757+-0.00223741i,0.0053195+0.00442124i
0.00771088+0.0731137i,0.0409513+0.00203487i,0.00463455+0.00406794i
0.00373484+0.0778438i,0.0391467+0.00498276i,0.00407618+0.00340768i
0.00165216+0.0818009i,0.0369675+0.0066581i,0.00360353+0.00249754i
0.00173391+0.0849676i,0.0345259+0.00718399i,0.00314943+0.00139683i
0.00411934+0.0871772i,0.0318534+0.00674082i,0.00263144+0.000173983i
0.00878529+0.0881169i,0.0289254+0.00555903i,0.00196537+-0.0010858i
0.0155072+0.0873606i,0.0256927+0.00391427i,0.00108187+-0.00227507i
0.0238219+0.0844357i,0.0221203+0.00211966i,-5.47753e-05+-0.00326433i
0.0330084+0.0789243i,0.0182257+0.000509404i,-0.00142754+-0.00391108i
0.042107+0.0705901i,0.0141123+-0.000590334i,-0.00295185+-0.00407991i
0.0271667+-0.0177781i,-0.0117421+-0.0413967i,0.00555449+-0.00770081i
0.0342477+-0.0082665i,0.000428986+-0.0433349i,0.00752394+-0.00557828i
0.0381306+0.00314462i,0.0119516+-0.0416929i,0.00864035+-0.00318882i
0.0387531+0.0152891i,0.0218739+-0.0372444i,0.00898494+-0.00085372i
0.0364643+0.0272056i,0.0296655+-0.0309163i,0.00872177+0.00119542i
0.0318797+0.0382194i,0.0351703+-0.0236226i,0.00804782+0.00282042i
0.0257456+0.0479541i,0.0385157+-0.0161545i,0.00715434+0.00396335i
0.0188331+0.0562926i,0.0400103+-0.00912567i,0.00620169+0.00462527i
0.0118685+0.0633098i,0.0400483+-0.00295997i,0.00530631+0.0048437i
0.0054951+0.0691935i,0.0390332+0.00209172i,0.00453702+0.00467371i
0.000259236+0.074167i,0.0373246+0.00592021i,0.00391728+0.00417469i
-0.00339135+0.0784193i,0.0352065+0.00852337i,0.00343097+0.00340379i
-0.0051069+0.0820492i,0.0328747+0.00997551i,0.00302988+0.00241534i
-0.0046418+0.0850253i,0.0304381+0.0104047i,0.00264278+0.00126515i
-0.00187265+0.0871657i,0.0279314+0.00997855i,0.00218593+1.76693e-05i
0.00317063+0.0881428i,0.0253362+0.00889689i,0.00157611+-0.00124637i
0.0102651+0.0875154i,0.0226075+0.00738753i,0.000746238+-0.00242461i
0.0189564+0.0847956i,0.0197045+0.00570092i,-0.000336701+-0.00339347i
0.0285383+0.079547i,0.016621+0.00409916i,-0.00165382+-0.00401715i
0.0380685+0.0715093i,0.0134114+0.00283599i,-0.00312054+-0.00416718i
0.0266236+-0.00979534i,-0.00548898+-0.0379887i,0.0060351+-0.00595034i
0.0317999+-0.000622635i,0.00540555+-0.0386182i,0.00757175+-0.0038865i
0.0340807+0.0100201i,0.0154565+-0.0361406i,0.008335+-0.0016624i
0.0334744+0.0211159i,0.0238694+-0.0313021i,0.00842039+0.000441169i
0.0303451+0.0318439i,0.0302339+-0.0249603i,0.00799142+0.00222876i
0.0252823+0.0416464i,0.0344726+-0.0179384i,0.00723425+0.00359076i
0.0189803+0.0502339i,0.0367544+-0.0109313i,0.00632371+0.00448921i
0.0121458+0.0575461i,0.0373996+-0.00446229i,0.00540182+0.00493714i
0.00543811+0.0636875i,0.0367938+0.00112244i,0.00456745+0.00497764i
-0.000562195+0.0688548i,0.0353208+0.00563351i,0.00387428+0.00466678i
-0.00536334+0.0732648i,0.0333171+0.00900657i,0.00333393+0.00406222i
-0.00856255+0.0770918i,0.0310468+0.0112682i,0.00292193+0.00321804i
-0.00984544+0.0804163i,0.0286918+0.0125062i,0.00258529+0.0021852i
-0.0089926+0.0831898i,0.0263553+0.0128477i,0.00225111+0.00101625i
-0.00589822+0.0852172i,0.0240735+0.0124448i,0.00183684+-0.00022746i
-0.000601142+0.0861633i,0.0218334+0.0114679i,0.00126265+-0.00146844i
0.00667586+0.0855852i,0.0195947+0.0101012i,0.000466321+-0.00260833i
0.0154887+0.082997i,0.0173139+0.00853979i,-0.000579908+-0.00352883i
0.0251516+0.0779652i,0.0149675+0.00698264i,-0.0018527+-0.00410094i
0.0347523+0.0702281i,0.0125714+0.00561986i,-0.00326529+-0.00420433i
0.025167+-0.00279247i,-0.000673875+-0.0337263i,0.00610288+-0.00436079i
0.0286803+0.00570665i,0.00885576+-0.0333853i,0.00727374+-0.00245509i
0.0296788+0.0153221i,0.0174476+-0.0303911i,0.00776891+-0.000464658i
0.028208+0.025196i,0.0244452+-0.0254381i,0.0076859+0.00137014i
0.0246165+0.0346449i,0.0295355+-0.0193013i,0.00717766+0.00288631i
0.0194423+0.0432164i,0.0326978+-0.012709i,0.00641274+0.00399699i
0.0133091+0.0506904i,0.0341234+-0.00626322i,0.00554565+0.00467774i
0.00684713+0.0570437i,0.0341291+-0.000405043i,0.00469864+0.00494754i
0.000642054+0.0623909i,0.0330809+0.00458547i,0.00395347+0.00485005i
-0.00479076+0.0669198i,0.0313359+0.00856815i,0.0033503+0.00443869i
-0.00901471+0.0708269i,0.0292033+0.0115115i,0.00289113+0.00376706i
-0.011672+0.074261i,0.0269241+0.0134599i,0.00254571+0.00288511i
-0.012484+0.0772787i,0.0246645+0.0145063i,0.00225877+0.00184028i
-0.0112592+0.0798126i,0.0225198+0.0147706i,0.00195831+0.000682466i
-0.00791167+0.0816583i,0.0205249+0.0143869i,0.00156541+-0.000529159i
-0.00249227+0.0824811i,0.0186694+0.0134965i,0.00100605+-0.00171942i
0.00477452+0.0818497i,0.0169149+0.0122447i,0.000225239+-0.0027933i
0.0134555+0.0792982i,0.0152139+0.0107792i,-0.000797192+-0.00363769i
0.0228908+0.0744167i,0.013527+0.00924707i,-0.00203148+-0.0041312i
0.0322101+0.0669636i,0.0118378+0.00778746i,-0.00338724+-0.00416329i
0.0232801+0.00319192i,0.00287373+-0.0290233i,0.00587502+-0.00298325i
0.0253637+0.0108045i,0.0110451+-0.0279813i,0.00674411+-0.00130545i
0.0253604+0.0192392i,0.0182573+-0.0247039i,0.0070456+0.000407302i
0.0233295+0.027801i,0.0239729+-0.0198199i,0.00686933+0.001954i
0.0195817+0.0359392i,0.0279569+-0.0140167i,0.00635037+0.00320038i
0.0145861+0.0432956i,0.030228+-0.00792953i,0.00563472+0.00407731i
0.0088832+0.0497053i,0.0309861+-0.00207421i,0.00485407+0.00456861i
0.00301875+0.055166i,0.030535+0.00317998i,0.00411042+0.00469449i
-0.00249919+0.0597876i,0.0292155+0.00760777i,0.00346922+0.00449547i
-0.00722235+0.0637357i,0.0273545+0.0111065i,0.00295885+0.00401976i
-0.0107699+0.0671758i,0.0252325+0.0136664i,0.00257392+0.0033155i
-0.0128295+0.0702244i,0.0230668+0.0153405i,0.00228084+0.00242804i
-0.0131596+0.0729105i,0.0210065+0.0162186i,0.00202455+0.0014016i
-0.0115986+0.0751489i,0.0191367+0.0164083i,0.00173643+0.000284007i
-0.00808377+0.0767301i,0.0174873+0.0160232i,0.00134361+-0.000866935i
-0.00268042+0.0773296i,0.0160456+0.0151765i,0.000780291+-0.00197782i
0.0043836+0.0765409i,0.0147702+0.0139793i,1.03071e-06+-0.00295694i
0.0126873+0.0739344i,0.0136049+0.0125413i,-0.00100477+-0.00369703i
0.0216028+0.0691428i,0.012493+0.0109701i,-0.00219942+-0.00408577i
0.030314+0.0619633i,0.0113882+0.0093699i,-0.00348834+-0.00402468i
0.021358+0.00818886i,0.00539842+-0.0241921i,0.00545615+-0.00183282i
0.0222119+0.014809i,0.0122905+-0.0226482i,0.0060761+-0.000427236i
0.0214281+0.0219952i,0.0182499+-0.0192404i,0.00624131+0.000982216i
0.0190649+0.0292154i,0.0228405+-0.0145272i,0.00602736+0.00223269i
0.0153828+0.0360469i,0.0258893+-0.00910972i,0.00554636+0.00321575i
0.0107715+0.0422171i,0.0274421+-0.0035364i,0.00491859+0.00387631i
0.005681+0.0476062i,0.0276989+0.00175346i,0.00425143+0.00420272i
0.000567798+0.0522219i,0.0269457+0.00645167i,0.00362643+0.00421321i
-0.00414052+0.0561593i,0.0254957+0.0103765i,0.00309367+0.00394275i
-0.00806437+0.0595533i,0.0236456+0.0134523i,0.0026713+0.00343281i
-0.0108799+0.0625322i,0.0216479+0.0156814i,0.00234852+0.0027254i
-0.0123218+0.0651766i,0.0196959+0.0171172i,0.00209057+0.00186123i
-0.0121876+0.0674871i,0.017921+0.0178403i,0.00184493+0.000881653i
-0.0103481+0.0693633i,0.0163949+0.0179418i,0.00154871+-0.000166966i
-0.0067663+0.0705969i,0.0151383+0.017513i,0.00113754+-0.00122784i
-0.00152415+0.0708827i,0.0141298+0.0166411i,0.000556173+-0.00222936i
0.00514722+0.0698514i,0.0133179+0.0154093i,-0.000229189+-0.00308375i
0.0128422+0.0671248i,0.0126322+0.0138992i,-0.00121791+-0.00369107i
0.0209726+0.0623934i,0.011995+0.0121938i,-0.00236353+-0.00395027i
0.0287891+0.0555078i,0.0113323+0.0103799i,-0.00356754+-0.00377771i
0.0197012+0.0122574i,0.00717736+-0.0194612i,0.00493286+-0.00090043i
0.0194808+0.017872i,0.0129239+-0.0175524i,0.0053398+0.000210504i
0.0180684+0.0238123i,0.0177916+-0.0140996i,0.00540554+0.00130508i
0.0155176+0.0297064i,0.0214295+-0.00959266i,0.00518779+0.00225785i
0.0120343+0.0352554i,0.0237139+-0.00455311i,0.00477295+0.00298456i
0.00792564+0.0402675i,0.0247094+0.000547304i,0.00425382+0.00344216i
0.00354822+0.044662i,0.0246113+0.00533479i,0.00371262+0.00362157i
-0.000732796+0.0484521i,0.0236863+0.00955086i,0.00321058+0.00353741i
-0.00457222+0.0517131i,0.0222209+0.0130468i,0.00278308+0.00321792i
-0.00766102+0.0545458i,0.0204833+0.0157642i,0.00243928+0.00269728i
-0.00973434+0.0570392i,0.018699+0.0177099i,0.00216454+0.0020112i
-0.0105762+0.059238i,0.0170384+0.0189307i,0.00192481+0.00119597i
-0.0100258+0.0611167i,0.0156133+0.0194936i,0.00167216+0.000290393i
-0.0079889+0.0625641i,0.0144791+0.0194706i,0.0013517+-0.000660431i
