0.021867+-0.0131361i,-0.0165804+0.0203633i,-0.00181985+0.00407566i
0.0169825+-0.0144334i,-0.0117591+0.022513i,-0.00113268+0.00445744i
0.011635+-0.0149945i,-0.00639921+0.0239259i,-0.000255955+0.0046708i
0.00609326+-0.0145283i,-0.000645342+0.0243321i,0.000769504+0.00464513i
0.00073218+-0.0128252i,0.00526294+0.0235019i,0.00187078+0.00431592i
-0.00398469+-0.00981224i,0.0109951+0.02128i,0.00294295+0.00363895i
0.0185046+-0.00864619i,-0.0378022+0.0234456i,-0.00268112+-0.000466191i
0.0214545+-0.00855152i,-0.040566+0.0175956i,-0.00240572+-0.000904655i
0.0245723+-0.00785849i,-0.0419188+0.0123143i,-0.0021078+-0.0011149i
0.0275463+-0.00666004i,-0.0421743+0.00789385i,-0.00186548+-0.00112988i
0.0301419+-0.00515278i,-0.0416391+0.00450291i,-0.00172357+-0.000996063i
0.0322133+-0.00358095i,-0.0405784+0.00221i,-0.00169696+-0.000758943i
0.033692+-0.00218927i,-0.0391949+0.0010096i,-0.00177748+-0.000454322i
0.0345628+-0.00118905i,-0.0376197+0.000845i,-0.00194129+-0.00010487i
0.0348369+-0.000737226i,-0.0359129+0.00162543i,-0.00215508+0.00027924i
0.0345284+-0.000925388i,-0.0340693+0.00323638i,-0.00238047+0.000697015i
0.0336372+-0.00177533i,-0.0320303+0.00554343i,-0.00257675+0.00115183i
0.0321426+-0.003238i,-0.0296982+0.00839089i,-0.00270258+0.00164603i
0.0300063+-0.00519425i,-0.0269545+0.0115973i,-0.00271742+0.00217563i
0.0271853+-0.00745751i,-0.0236803+0.0149505i,-0.0025837+0.00272567i
0.0236535+-0.00977982i,-0.0197797+0.0182052i,-0.00227015+0.00326674i
0.0194285+-0.0118641i,-0.0152041+0.0210857i,-0.00175669+0.0037535i
0.0146011+-0.0133855i,-0.00997576+0.0232969i,-0.00104066+0.00412595i
0.00935991+-0.0140247i,-0.00420718+0.0245443i,-0.000143578+0.00431417i
0.00400572+-0.0135127i,0.00188735+0.024564i,0.00088318+0.00424711i
-0.001053+-0.0116847i,0.00799324+0.023158i,0.00195564+0.00386525i
0.0177377+-0.0046816i,-0.038774+0.0185354i,-0.00229268+-0.00109396i
0.0201804+-0.00447666i,-0.0410593+0.0127257i,-0.00194836+-0.0014737i
0.0228358+-0.00373401i,-0.042053+0.00752961i,-0.00160684+-0.00163575i
0.025416+-0.00253185i,-0.0420619+0.00321736i,-0.00134022+-0.00161852i
0.0277069+-0.00104917i,-0.041385+-5.58309e-05i,-0.00118826+-0.00147086i
0.0295788+0.000487479i,-0.0402803+-0.0022277i,-0.0011626+-0.00123842i
0.030975+0.00184817i,-0.0389441+-0.00330458i,-0.00125382+-0.000955773i
0.0318885+0.00283088i,-0.0375014+-0.00333954i,-0.00143879+-0.00064338i
0.0323355+0.00328041i,-0.0360052+-0.002416i,-0.00168644+-0.000308456i
0.0323314+0.00309795i,-0.0344418+-0.000638105i,-0.00196174+5.18055e-05i
0.031874+0.00224505i,-0.0327413+0.00187233i,-0.00222775+0.000445673i
0.0309348+0.000745086i,-0.0307917+0.00497332i,-0.00244659+0.000881783i
0.0294599+-0.00131594i,-0.0284555+0.00849681i,-0.00258006+0.00136405i
0.0273809+-0.0037891i,-0.0255911+0.0122419i,-0.00259074+0.00188697i
0.0246325+-0.00646405i,-0.0220755+0.0159703i,-0.00244432+0.00243174i
0.0211795+-0.00907516i,-0.0178302+0.0194073i,-0.00211352+0.00296385i
0.0170447+-0.0113154i,-0.0128467+0.022251i,-0.00158368+0.00343275i
0.0123389+-0.0128615i,-0.00720788+0.0241913i,-0.000859416+0.00377464i
0.00728119+-0.0134113i,-0.00110253+0.0249399i,2.87877e-05+0.00391883i
0.00220644+-0.0127332i,0.0051739+0.0242668i,0.00101986+0.00379821i
0.0163345+-0.00152678i,-0.0381158+0.0143899i,-0.00183199+-0.00156352i
0.0182987+-0.00131732i,-0.0400802+0.00880653i,-0.00143826+-0.00188176i
0.0205288+-0.00062218i,-0.0408721+0.00382131i,-0.00106529+-0.00199626i
0.0227567+0.000501841i,-0.0407785+-0.000309418i,-0.000779327+-0.00194848i
0.0247829+0.00189871i,-0.0400829+-0.00343508i,-0.000615837+-0.00178816i
0.0264878+0.00336332i,-0.0390317+-0.00549179i,-0.000584096+-0.00156061i
0.027821+0.00468292i,-0.0378135+-0.00648007i,-0.000674322+-0.0012994i
0.0287798+0.00566628i,-0.0365483+-0.00644434i,-0.000864741+-0.00102365i
0.0293836+0.00616096i,-0.035285+-0.00545717i,-0.00112713+-0.000738918i
0.0296505+0.0060619i,-0.0340056+-0.00361014i,-0.00143034+-0.000440189i
0.0295801+0.00531488i,-0.0326346+-0.00101116i,-0.00174197+-0.000116015i
0.0291433+0.00391807i,-0.0310513+0.00221236i,-0.00202874+0.000246846i
0.0282806+0.00192374i,-0.0291067+0.00590668i,-0.00225643+0.000658741i
0.0269097+-0.000559498i,-0.0266432+0.00988368i,-0.00239008+0.00112264i
0.0249403+-0.00336476i,-0.0235184+0.0139148i,-0.00239528+0.00163014i
0.0222965+-0.00626789i,-0.0196312+0.0177304i,-0.00224095+0.00215842i
0.0189451+-0.00899458i,-0.0149481+0.0210273i,-0.0019039+0.00266871i
0.0149249+-0.0112371i,-0.00952752+0.0234876i,-0.00137492+0.00310717i
0.0103729+-0.0126833i,-0.0035352+0.0248076i,-0.000665486+0.00340892i
0.00553978+-0.013059i,0.00275233+0.024736i,0.000186248+0.00350586i
0.0146141+0.000800118i,-0.0361665+0.0111775i,-0.00136495+-0.0018903i
0.0161447+0.000951772i,-0.0379724+0.00596577i,-0.000938354+-0.00215085i
0.0179946+0.00154234i,-0.0387174+0.001285i,-0.000543596+-0.00222294i
0.0199128+0.0025404i,-0.0386584+-0.00261412i,-0.000241633+-0.00214905i
0.0217108+0.00381617i,-0.0380564+-0.00557735i,-6.45282e-05+-0.00197867i
0.0232741+0.00518832i,-0.0371434+-0.00753181i,-2.01174e-05+-0.00175639i
0.024555+0.00646287i,-0.0360996+-0.00846635i,-9.89596e-05+-0.00151506i
0.0255517+0.00746054i,-0.0350409+-0.00841251i,-0.000281141+-0.00127329i
0.0262858+0.00803289i,-0.0340148+-0.00742946i,-0.000541558+-0.00103613i
0.0267787+0.00807016i,-0.033003+-0.00559504i,-0.000853179+-0.000797749i
0.0270347+0.0075042i,-0.0319288+-0.0030032i,-0.00118843+-0.00054507i
0.0270293+0.00630997i,-0.0306689+0.000232688i,-0.00151925+-0.000261862i
0.0267054+0.0045075i,-0.0290686+0.00397255i,-0.00181642+6.71249e-05i
0.0259767+0.00216531i,-0.0269618+0.00804077i,-0.00204907+0.000452066i
0.024739+-0.000595302i,-0.024194+0.0122192i,-0.00218491+0.000894192i
0.0228887+-0.00359723i,-0.0206488+0.0162453i,-0.00219187+0.00138239i
0.0203474+-0.00660863i,-0.0162755+0.0198189i,-0.00204138+0.00189077i
0.0170908+-0.00935182i,-0.0111139+0.02262i,-0.00171346+0.00237792i
0.013177+-0.0115233i,-0.00531184+0.0243378i,-0.00120305+0.00278863i
0.00876919+-0.012827i,0.000870759+0.0247093i,-0.000526487+0.00305893i
0.0128231+0.00234493i,-0.0332397+0.00890666i,-0.000941326+-0.00210073i
0.013973+0.0024152i,-0.0350345+0.00417996i,-0.00049462+-0.00231209i
0.0154889+0.00287937i,-0.0358705+-0.000124644i,-8.48962e-05+-0.00235006i
0.0171365+0.00373314i,-0.0359659+-0.00375501i,0.000231425+-0.00225655i
0.0187359+0.00487463i,-0.035554+-0.00654614i,0.000424747+-0.00207993i
0.0201757+0.00614762i,-0.0348493+-0.00840989i,0.000487828+-0.00186384i
0.0214076+0.00737796i,-0.0340229+-0.00931856i,0.000429158+-0.00164072i
0.0224295+0.00839937i,-0.0331875+-0.00928743i,0.000266449+-0.0014293i
0.0232635+0.0090687i,-0.0323914+-0.00836049i,2.1576e-05+-0.00123509i
0.0239348+0.00927325i,-0.0316188+-0.00660139i,-0.000282536+-0.00105256i
0.0244543+0.00893333i,-0.0307959+-0.00409084i,-0.000623165+-0.000868318i
0.0248058+0.00800338i,-0.0298012+-0.000929611i,-0.00097761+-0.000664513i
0.0249397+0.00647391i,-0.0284802+0.00275415i,-0.00132219+-0.000422392i
0.0247733+0.00437533i,-0.0266646+0.00679588i,-0.00163109+-0.00012587i
0.0241976+0.00178379i,-0.0241947+0.0109872i,-0.00187566+0.000234882i
0.0230911+-0.00117271i,-0.0209467+0.0150733i,-0.00202488+0.000659945i
0.0213409+-0.00431024i,-0.01686+0.0187595i,-0.00204729+0.00113655i
0.0188684+-0.0073906i,-0.0119632+0.0217284i,-0.00191481+0.00163692i
0.0156586+-0.0101323i,-0.00639197+0.0236692i,-0.00160824+0.00211792i
0.0117877+-0.0122337i,-0.000393702+0.0243162i,-0.00112385+0.00252328i
0.0111289+0.00318328i,-0.0296027+0.00746423i,-0.000595216+-0.00222365i
0.0119553+0.0031799i,-0.0315045+0.00331337i,-0.000137473+-0.00239731i
0.0131826+0.00352469i,-0.0325419+-0.000555558i,0.000282959+-0.00241144i
0.0145942+0.00424019i,-0.0328875+-0.00388383i,0.000613368+-0.0023062i
0.0160187+0.00525272i,-0.0327423+-0.00649042i,0.000825733+-0.00212824i
0.0173468+0.00643164i,-0.0323004+-0.00826721i,0.00091266+-0.00192012i
0.018529+0.00762328i,-0.0317226+-0.00916614i,0.000881171+-0.00171408i
0.0195614+0.00867521i,-0.0311188+-0.00918374i,0.000746533+-0.0015295i
0.0204662+0.00945085i,-0.0305391+-0.00834757i,0.000527374+-0.00137302i
0.0212725+0.00983633i,-0.0299722+-0.0067072i,0.000242646+-0.00124028i
0.0219985+0.00974281i,-0.0293502+-0.00433118i,-8.95935e-05+-0.00111852i
0.0226381+0.0091071i,-0.0285573+-0.00130957i,-0.000451912+-0.000989331i
0.0231529+0.0078933i,-0.027444+0.00223915i,-0.000826247+-0.00083161i
0.0234684+0.00609666i,-0.0258451+0.00615938i,-0.00119223+-0.000624513i
0.0234771+0.00375024i,-0.0236025+0.010251i,-0.00152569+-0.000350669i
0.0230471+0.000933437i,-0.0205919+0.0142669i,-0.00179792+3.83373e-07i
0.0220389+-0.00221964i,-0.0167506+0.0179193i,-0.00197626+0.000428618i
0.0203277+-0.00551513i,-0.0121029+0.0208972i,-0.00202654+0.000920203i
0.0178321+-0.00870154i,-0.00677871+0.0228956i,-0.00191748+0.00144514i
0.0145443+-0.0114829i,-0.00101763+0.0236542i,-0.00162699+0.00195679i
0.00962094+0.00339684i,-0.0254755+0.00665401i,-0.000347305+-0.00228412i
0.0101854+0.00334966i,-0.0275628+0.00315446i,0.00011546+-0.00243319i
0.0111703+0.00360352i,-0.0288777+-0.00022425i,0.000544257+-0.00243485i
0.0123785+0.00420566i,-0.0295408+-0.00321435i,0.000889283+-0.00232671i
0.0136487+0.00510954i,-0.0297164+-0.00561579i,0.00112331+-0.00215326i
0.0148744+0.00620976i,-0.0295755+-0.00729748i,0.00123814+-0.00195592i
0.0160052+0.00737325i,-0.0292666+-0.00818851i,0.00123892+-0.00176689i
0.0170353+0.00846201i,-0.028896+-0.00826495i,0.00113827+-0.00160651i
0.0179871+0.00934705i,-0.0285159+-0.00753722i,0.000951599+-0.00148299i
0.0188932+0.00991492i,-0.0281209+-0.00604115i,0.000694064+-0.00139371i
0.0197793+0.0100697i,-0.0276508+-0.00383436i,0.000379338+-0.00132714i
0.0206504+0.00973325i,-0.0269986+-0.000998179i,1.98799e-05+-0.00126505i
0.0214803+0.00884629i,-0.0260232+0.00235627i,-0.000371643+-0.0011848i
0.0222053+0.00737211i,-0.0245677+0.00608007i,-0.000780264+-0.00106169i
0.0227225+0.00530369i,-0.0224812+0.00997971i,-0.00118647+-0.000871762i
0.0228946+0.0026741i,-0.0196456+0.0138152i,-0.00156439+-0.000595083i
0.0225609+-0.000431371i,-0.0160028+0.0173069i,-0.00188105+-0.0002197i
0.0215567+-0.00386405i,-0.0115799+0.0201532i,-0.0020974+0.000254011i
0.0197398+-0.00740561i,-0.00650712+0.0220601i,-0.00217152+0.000809158i
0.0170238+-0.0107713i,-0.00102056+0.0227803i,-0.00206456+0.00140929i
0.00831557+0.00306121i,-0.0210424+0.00623235i,-0.000207347+-0.00229971i
0.00868677+0.0030116i,-0.0233488+0.00344803i,0.000256524+-0.00243795i
0.00947985+0.00321599i,-0.0249778+0.000612746i,0.000692421+-0.00243893i
0.0105198+0.00374246i,-0.0259939+-0.00199724i,0.00105272+-0.00233723i
0.0116577+0.00456916i,-0.0265203+-0.00416236i,0.00131031+-0.00217493i
0.0127922+0.00561459i,-0.026701+-0.00572748i,0.00145569+-0.00199222i
0.0138731+0.0067657i,-0.0266701+-0.0065977i,0.00149176+-0.00182137i
